Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","39.02668288927994","18.131919905660325","22.853834252523335","0","0.27729267690628134","1.342899433869924","-1.50600274398915","0","0.8090020132322877","2.0415564697695388","-2.3061968082982673","0","17.98107955752269","19.432078087952583"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","15.803215718554533","8.525348995386866","18.44684477601432","60.81447240606731","0.531372497706327","0.25269260418714623","-1.2007789777755242","0","0.8165734980585082","0.6504796787937881","-0.9727391946378923","0","6.3143362551470865","3.4534007581899484"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","14.309297509232366","9.15080157504006","21.085906132689125","54.69702065433927","-0.4123271686009371","-0.6823352869350803","0.5283280197853202","-0.07838104154270553","-0.09610703339884097","0.22322091439349556","0.16952617686427018","0.0077544887504359394","3.8486689226197663","6.725955333627831"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","19.282508936215773","12.783728526242419","17.225370828484195","54.47903487190035","0.5699350099498606","-0.14845938747768983","-0.4970185551040416","0","0.45690564831804537","-0.2422014046667229","0.1508959376355854","0","4.913751705123524","4.6883354098740115"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","27.544703592864778","17.941312374362912","17.68662445731268","51.103608008372824","-0.011554507338058073","-1.2001048029483492","-0.17093268728602595","0","-0.008295459376284953","-1.158561493687909","0.6458093960812441","0","7.415171390493086","2.3937464463804337"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","19.50323122990717","13.26113411526968","18.980338882340067","58.190196623517465","0.5913036831562337","1.429793955821749","-0.667640844441685","0","0.5108743161880085","1.7294527620502222","-1.6205455747954502","0","4.897907101740204","2.7582236015663155"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458","30.175393654183697","22.873426853714264","50.969696020356196","7.923660707779934","0.19842799305003211","1.4424893962543237","-2.86860720519239","-0.2801764145433552","0.04977791230639994","1.343049594424567","-3.70730243628082","-0.29548906117868334","4.688328830532833","3.742975593455464"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764","27.725182128682107","16.517120732803786","33.16033977609043","25.89275685565613","3.700501406736418","5.61001146534578","-4.4326666031805","-0.020440614457932327","4.2913326999308445","6.318390285454001","-6.5814322025818655","-0.007690014136773726","9.471063410327067","4.767744617051479"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","18.753408222249913","7.312022220947837","8.566554719119484","58.892707957279974","-0.03442143794340158","-0.26849435093531326","-0.3100880700755404","0","-0.12879628293362444","0.022040289842514937","-0.6265389719045942","0","10.86147357006442","2.8023005628671736"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","13.398600408730665","8.039546659388542","18.129736652312094","41.864929352226746","-1.7910034629462892","-1.4572322966315365","-0.04419028865401131","-4.495058857930552","-2.619392096511799","-2.682753928634167","-1.0689291216254304","-4.491712786422298","4.522338249795532","12.409694887589188"
